id,geographic area name,commute time,year
0500000US30019,"Daniels County, Montana",8685,2010
0500000US72073,"Jayuya Municipio, Puerto Rico",96535,2010
0500000US24023,"Garrett County, Maryland",304545,2010
0500000US39173,"Wood County, Ohio",1161730,2010
0500000US30079,"Prairie County, Montana",4905,2010
0500000US08011,"Bent County, Colorado",38900,2010
0500000US13081,"Crisp County, Georgia",161440,2010
0500000US04027,"Yuma County, Arizona",1279840,2010
0500000US22019,"Calcasieu Parish, Louisiana",1639380,2010
0500000US20157,"Republic County, Kansas",35080,2010
0500000US37011,"Avery County, North Carolina",157055,2010
0500000US49015,"Emery County, Utah",91265,2010
0500000US54011,"Cabell County, West Virginia",789710,2010
0500000US05081,"Little River County, Arkansas",134540,2010
0500000US26049,"Genesee County, Michigan",4131965,2010
0500000US18153,"Sullivan County, Indiana",207170,2010
0500000US72077,"Juncos Municipio, Puerto Rico",365470,2010
0500000US20119,"Meade County, Kansas",32425,2010
0500000US31139,"Pierce County, Nebraska",66625,2010
0500000US06047,"Merced County, California",2245625,2010
0500000US27025,"Chisago County, Minnesota",746220,2010
0500000US48219,"Hockley County, Texas",183635,2010
0500000US50011,"Franklin County, Vermont",609340,2010
0500000US51036,"Charles City County, Virginia",104105,2010
0500000US21029,"Bullitt County, Kentucky",902200,2010
0500000US13057,"Cherokee County, Georgia",3055100,2010
0500000US21171,"Monroe County, Kentucky",85840,2010
0500000US27075,"Lake County, Minnesota",103960,2010
0500000US28023,"Clarke County, Mississippi",192840,2010
0500000US42053,"Forest County, Pennsylvania",51120,2010
0500000US48293,"Limestone County, Texas",178400,2010
0500000US51185,"Tazewell County, Virginia",411150,2010
0500000US47149,"Rutherford County, Tennessee",3103210,2010
0500000US05147,"Woodruff County, Arkansas",50010,2010
0500000US48129,"Donley County, Texas",25500,2010
0500000US16017,"Bonner County, Idaho",400805,2010
0500000US06109,"Tuolumne County, California",492080,2010
0500000US28037,"Franklin County, Mississippi",113705,2010
0500000US29131,"Miller County, Missouri",282170,2010
0500000US05105,"Perry County, Arkansas",122120,2010
0500000US19019,"Buchanan County, Iowa",220575,2010
0500000US31077,"Greeley County, Nebraska",18370,2010
0500000US29049,"Clinton County, Missouri",265985,2010
0500000US06043,"Mariposa County, California",229945,2010
0500000US22095,"St. John the Baptist Parish, Louisiana",528005,2010
0500000US29139,"Montgomery County, Missouri",145570,2010
0500000US48321,"Matagorda County, Texas",308665,2010
0500000US28103,"Noxubee County, Mississippi",94615,2010
0500000US53051,"Pend Oreille County, Washington",124520,2010
0500000US36071,"Orange County, New York",5404875,2010
0500000US13103,"Effingham County, Georgia",640045,2010
0500000US42013,"Blair County, Pennsylvania",1082310,2010
0500000US72089,"Luquillo Municipio, Puerto Rico",188465,2010
0500000US51121,"Montgomery County, Virginia",736230,2010
0500000US17089,"Kane County, Illinois",6590870,2010
0500000US21159,"Martin County, Kentucky",85480,2010
0500000US26003,"Alger County, Michigan",55080,2010
0500000US37171,"Surry County, North Carolina",783715,2010
0500000US24027,"Howard County, Maryland",4233710,2010
0500000US53025,"Grant County, Washington",601580,2010
0500000US13061,"Clay County, Georgia",18350,2010
0500000US21163,"Meade County, Kentucky",369855,2010
0500000US18015,"Carroll County, Indiana",235325,2010
0500000US51075,"Goochland County, Virginia",201985,2010
0500000US42047,"Elk County, Pennsylvania",273085,2010
0500000US13141,"Hancock County, Georgia",75180,2010
0500000US21149,"McLean County, Kentucky",107325,2010
0500000US39141,"Ross County, Ohio",755290,2010
0500000US72047,"Corozal Municipio, Puerto Rico",284800,2010
0500000US31145,"Red Willow County, Nebraska",68160,2010
0500000US48501,"Yoakum County, Texas",56710,2010
0500000US51167,"Russell County, Virginia",306635,2010
0500000US54099,"Wayne County, West Virginia",393685,2010
0500000US51157,"Rappahannock County, Virginia",107065,2010
0500000US27159,"Wadena County, Minnesota",121955,2010
0500000US45061,"Lee County, South Carolina",148340,2010
0500000US37005,"Alleghany County, North Carolina",106950,2010
0500000US48329,"Midland County, Texas",1078770,2010
0500000US48025,"Bee County, Texas",164640,2010
0500000US47051,"Franklin County, Tennessee",371425,2010
0500000US27097,"Morrison County, Minnesota",376500,2010
0500000US38089,"Stark County, North Dakota",195020,2010
0500000US35045,"San Juan County, New Mexico",1247585,2010
0500000US48125,"Dickens County, Texas",11560,2010
0500000US20159,"Rice County, Kansas",87040,2010
0500000US48481,"Wharton County, Texas",448805,2010
0500000US47139,"Polk County, Tennessee",177395,2010
0500000US21167,"Mercer County, Kentucky",220790,2010
0500000US20161,"Riley County, Kansas",532425,2010
0500000US27007,"Beltrami County, Minnesota",362515,2010
0500000US51800,"Suffolk city, Virginia",1054150,2010
0500000US53015,"Cowlitz County, Washington",923915,2010
0500000US17125,"Mason County, Illinois",164905,2010
0500000US48383,"Reagan County, Texas",25455,2010
0500000US12107,"Putnam County, Florida",726575,2010
0500000US17005,"Bond County, Illinois",199705,2010
0500000US19125,"Marion County, Iowa",310160,2010
0500000US17025,"Clay County, Illinois",109140,2010
0500000US48269,"King County, Texas",470,2010
0500000US56021,"Laramie County, Wyoming",703620,2010
0500000US09009,"New Haven County, Connecticut",9593530,2010
0500000US36009,"Cattaraugus County, New York",731930,2010
0500000US48387,"Red River County, Texas",128405,2010
0500000US02270,"Wade Hampton Census Area, Alaska",10610,2010
0500000US18109,"Morgan County, Indiana",871070,2010
0500000US48003,"Andrews County, Texas",135385,2010
0500000US05103,"Ouachita County, Arkansas",194915,2010
0500000US05119,"Pulaski County, Arkansas",3369730,2010
0500000US37137,"Pamlico County, North Carolina",126390,2010
