id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US17083,"Jersey County, Illinois",8.4,36.7,25.1,9.3,8.9,7.2,2010
0500000US17085,"Jo Daviess County, Illinois",7.1,39.3,19.6,7.2,14.5,8.5,2010
0500000US17087,"Johnson County, Illinois",16.1,32.3,24.6,8.3,9.4,3.4,2010
0500000US17089,"Kane County, Illinois",8.2,24.7,19.6,7.0,20.9,10.9,2010
0500000US17091,"Kankakee County, Illinois",9.2,35.0,23.9,8.9,10.8,6.6,2010
0500000US17093,"Kendall County, Illinois",4.7,26.5,24.5,8.7,22.1,10.2,2010
0500000US17095,"Knox County, Illinois",10.7,38.3,22.1,9.7,10.1,5.1,2010
0500000US17097,"Lake County, Illinois",5.7,21.3,19.9,6.0,24.8,16.5,2010
0500000US17099,"LaSalle County, Illinois",8.2,38.6,24.3,9.1,10.6,5.2,2010
0500000US17101,"Lawrence County, Illinois",14.5,37.6,18.3,14.0,8.2,2.9,2010
0500000US17103,"Lee County, Illinois",9.2,36.4,24.7,9.7,10.6,4.4,2010
0500000US17105,"Livingston County, Illinois",11.4,42.3,21.2,7.2,9.3,4.2,2010
0500000US17107,"Logan County, Illinois",10.6,40.0,21.9,6.4,12.3,4.8,2010
0500000US17109,"McDonough County, Illinois",5.8,30.9,21.2,6.5,18.0,14.6,2010
0500000US17111,"McHenry County, Illinois",5.0,27.7,24.3,7.7,21.9,10.2,2010
0500000US17113,"McLean County, Illinois",4.4,26.9,19.9,6.2,27.8,12.6,2010
0500000US17115,"Macon County, Illinois",9.3,36.0,23.7,6.6,13.4,7.1,2010
0500000US17117,"Macoupin County, Illinois",8.8,39.2,24.6,8.1,9.6,5.5,2010
0500000US17119,"Madison County, Illinois",6.9,34.0,24.4,8.1,14.9,8.1,2010
0500000US17121,"Marion County, Illinois",9.5,36.3,23.5,10.7,9.1,4.5,2010
0500000US17123,"Marshall County, Illinois",6.1,42.4,21.9,8.8,13.6,3.6,2010
0500000US17125,"Mason County, Illinois",11.7,38.4,20.8,7.6,10.3,6.2,2010
0500000US17127,"Massac County, Illinois",9.6,35.4,24.5,10.9,10.8,3.3,2010
0500000US17129,"Menard County, Illinois",5.6,38.1,20.1,8.0,16.1,8.0,2010
0500000US17131,"Mercer County, Illinois",8.5,40.8,23.1,10.3,10.1,4.4,2010
0500000US17133,"Monroe County, Illinois",5.1,32.2,24.0,10.2,16.3,8.4,2010
0500000US17135,"Montgomery County, Illinois",10.8,42.1,20.8,7.2,9.2,4.1,2010
0500000US17137,"Morgan County, Illinois",9.3,38.8,20.8,6.7,12.4,7.8,2010
0500000US17139,"Moultrie County, Illinois",6.2,41.6,18.8,9.6,9.1,4.7,2010
0500000US17141,"Ogle County, Illinois",8.3,37.3,23.6,8.7,11.6,6.2,2010
0500000US17143,"Peoria County, Illinois",7.6,29.5,22.4,8.7,17.8,10.3,2010
0500000US17145,"Perry County, Illinois",12.4,36.3,21.8,10.0,9.1,4.4,2010
0500000US17147,"Piatt County, Illinois",6.7,36.1,21.0,9.7,15.5,7.4,2010
0500000US17149,"Pike County, Illinois",10.9,45.5,19.3,8.5,9.0,3.7,2010
0500000US17151,"Pope County, Illinois",6.9,35.5,29.9,11.4,4.6,3.7,2010
0500000US17153,"Pulaski County, Illinois",11.6,35.5,21.4,10.1,7.3,4.6,2010
0500000US17155,"Putnam County, Illinois",9.0,36.8,24.8,12.0,9.9,5.1,2010
