id,geographic area name,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",year,1-unit attached,boat rv van etc.
0500000US13155,"Irwin County, Georgia",3339,21,57,65,0,19,0,1148,0,2010,,
0500000US13157,"Jackson County, Georgia",20917,234,639,231,215,217,55,4264,45,2010,,
0500000US13159,"Jasper County, Georgia",4998,81,68,48,26,9,28,1053,0,2010,,
0500000US13161,"Jeff Davis County, Georgia",5567,44,152,263,99,8,0,2056,0,2010,,
0500000US13163,"Jefferson County, Georgia",6281,66,323,84,293,0,72,1709,0,2010,,
0500000US13165,"Jenkins County, Georgia",3125,81,16,33,29,0,14,1595,0,2010,,
0500000US13167,"Johnson County, Georgia",3334,2,162,21,76,80,19,946,0,2010,,
0500000US13169,"Jones County, Georgia",10238,99,69,56,178,0,50,2454,0,2010,,
0500000US13171,"Lamar County, Georgia",6377,10,313,236,208,32,34,1375,0,2010,,
0500000US13173,"Lanier County, Georgia",3308,0,133,27,64,8,0,1456,0,2010,,
0500000US13175,"Laurens County, Georgia",17669,97,1010,824,444,92,136,5132,11,2010,,
0500000US13177,"Lee County, Georgia",9555,75,470,303,85,126,6,1796,0,2010,,
0500000US13179,"Liberty County, Georgia",22626,1024,860,2666,2016,317,161,5100,15,2010,,
0500000US13181,"Lincoln County, Georgia",3435,4,61,15,17,5,4,1628,0,2010,,
0500000US13183,"Long County, Georgia",4553,3,10,61,42,10,0,3291,0,2010,,
0500000US13185,"Lowndes County, Georgia",38358,847,1318,1531,2979,1118,1173,5424,10,2010,,
0500000US13187,"Lumpkin County, Georgia",10863,212,234,144,180,52,172,2773,14,2010,,
0500000US13189,"McDuffie County, Georgia",8283,132,160,227,282,99,117,2412,0,2010,,
0500000US13191,"McIntosh County, Georgia",5687,4,55,132,86,13,46,3365,0,2010,,
0500000US13193,"Macon County, Georgia",4735,28,182,155,153,42,31,1510,0,2010,,
0500000US13195,"Madison County, Georgia",9430,113,191,79,35,7,21,3827,16,2010,,
0500000US13197,"Marion County, Georgia",3171,50,179,101,55,15,32,1401,0,2010,,
0500000US13199,"Meriwether County, Georgia",8453,57,123,153,176,14,78,2136,3,2010,,
0500000US13201,"Miller County, Georgia",2577,22,37,42,16,0,0,676,0,2010,,
0500000US13205,"Mitchell County, Georgia",8170,71,247,316,338,28,96,2490,11,2010,,
0500000US13207,"Monroe County, Georgia",9206,48,172,120,145,38,3,2494,0,2010,,
0500000US13209,"Montgomery County, Georgia",3294,0,87,82,89,0,3,1406,0,2010,,
