id,geographic area name,median income (family),median income (nonfamily),year
0500000US17083,"Jersey County, Illinois",64773,28125,2010
0500000US17085,"Jo Daviess County, Illinois",60381,28266,2010
0500000US17087,"Johnson County, Illinois",47423,21378,2010
0500000US17089,"Kane County, Illinois",77998,40333,2010
0500000US17091,"Kankakee County, Illinois",59998,28864,2010
0500000US17093,"Kendall County, Illinois",87309,50970,2010
0500000US17095,"Knox County, Illinois",51740,19758,2010
0500000US17097,"Lake County, Illinois",91693,43344,2010
0500000US17099,"LaSalle County, Illinois",62252,25591,2010
0500000US17101,"Lawrence County, Illinois",45565,20646,2010
0500000US17103,"Lee County, Illinois",60759,28683,2010
0500000US17105,"Livingston County, Illinois",60933,28006,2010
0500000US17107,"Logan County, Illinois",63245,26774,2010
0500000US17109,"McDonough County, Illinois",52390,16981,2010
0500000US17111,"McHenry County, Illinois",86698,43331,2010
0500000US17113,"McLean County, Illinois",77093,31975,2010
0500000US17115,"Macon County, Illinois",57570,26205,2010
0500000US17117,"Macoupin County, Illinois",59700,24990,2010
0500000US17119,"Madison County, Illinois",64630,29375,2010
0500000US17121,"Marion County, Illinois",50518,19566,2010
0500000US17123,"Marshall County, Illinois",64781,26719,2010
0500000US17125,"Mason County, Illinois",51348,26338,2010
0500000US17127,"Massac County, Illinois",51794,23024,2010
0500000US17129,"Menard County, Illinois",65882,26811,2010
0500000US17131,"Mercer County, Illinois",62025,31192,2010
0500000US17133,"Monroe County, Illinois",80832,30425,2010
0500000US17135,"Montgomery County, Illinois",56945,22657,2010
0500000US17137,"Morgan County, Illinois",59185,24272,2010
0500000US17139,"Moultrie County, Illinois",54494,25164,2010
0500000US17141,"Ogle County, Illinois",64927,29194,2010
0500000US17143,"Peoria County, Illinois",63163,31219,2010
0500000US17145,"Perry County, Illinois",50130,21878,2010
0500000US17147,"Piatt County, Illinois",65850,30825,2010
0500000US17149,"Pike County, Illinois",50426,23517,2010
0500000US17151,"Pope County, Illinois",51500,19550,2010
0500000US17153,"Pulaski County, Illinois",39699,15000,2010
0500000US17155,"Putnam County, Illinois",68875,31607,2010
0500000US17157,"Randolph County, Illinois",55113,22584,2010
0500000US17159,"Richland County, Illinois",53853,21422,2010
0500000US17161,"Rock Island County, Illinois",58962,26858,2010
0500000US17163,"St. Clair County, Illinois",61042,28194,2010
0500000US17165,"Saline County, Illinois",46314,18705,2010
0500000US17167,"Sangamon County, Illinois",66917,32312,2010
0500000US17169,"Schuyler County, Illinois",51654,24708,2010
0500000US17171,"Scott County, Illinois",64412,30060,2010
0500000US17173,"Shelby County, Illinois",55655,23610,2010
0500000US17175,"Stark County, Illinois",62681,23156,2010
0500000US17177,"Stephenson County, Illinois",54224,24355,2010
0500000US17179,"Tazewell County, Illinois",66764,29991,2010
0500000US17181,"Union County, Illinois",48465,19771,2010
0500000US17183,"Vermilion County, Illinois",49429,23216,2010
0500000US17185,"Wabash County, Illinois",55611,23187,2010
