id,geographic area name,total population,year
0500000US08025,"Crowley County, Colorado",5897,2010
0500000US08029,"Delta County, Colorado",30533,2010
0500000US08031,"Denver County, Colorado",578087,2010
0500000US08033,"Dolores County, Colorado",2027,2010
0500000US08035,"Douglas County, Colorado",273440,2010
0500000US08037,"Eagle County, Colorado",50793,2010
0500000US08039,"Elbert County, Colorado",22712,2010
0500000US08041,"El Paso County, Colorado",599988,2010
0500000US08043,"Fremont County, Colorado",46941,2010
0500000US08045,"Garfield County, Colorado",54761,2010
0500000US08047,"Gilpin County, Colorado",5126,2010
0500000US08049,"Grand County, Colorado",14526,2010
0500000US08051,"Gunnison County, Colorado",15136,2010
0500000US08055,"Huerfano County, Colorado",6948,2010
0500000US08059,"Jefferson County, Colorado",528614,2010
0500000US08063,"Kit Carson County, Colorado",8156,2010
0500000US08067,"La Plata County, Colorado",50149,2010
0500000US08069,"Larimer County, Colorado",291162,2010
0500000US08071,"Las Animas County, Colorado",15675,2010
0500000US08073,"Lincoln County, Colorado",5476,2010
0500000US08075,"Logan County, Colorado",22278,2010
0500000US08077,"Mesa County, Colorado",142284,2010
0500000US08081,"Moffat County, Colorado",13519,2010
0500000US08083,"Montezuma County, Colorado",25279,2010
0500000US08085,"Montrose County, Colorado",40266,2010
0500000US08087,"Morgan County, Colorado",27911,2010
0500000US08089,"Otero County, Colorado",18830,2010
0500000US08091,"Ouray County, Colorado",4319,2010
0500000US08093,"Park County, Colorado",16286,2010
0500000US08095,"Phillips County, Colorado",4394,2010
0500000US08097,"Pitkin County, Colorado",16389,2010
0500000US08099,"Prowers County, Colorado",12734,2010
0500000US08101,"Pueblo County, Colorado",156244,2010
0500000US08103,"Rio Blanco County, Colorado",6494,2010
0500000US08105,"Rio Grande County, Colorado",11926,2010
0500000US08107,"Routt County, Colorado",22924,2010
0500000US08109,"Saguache County, Colorado",6161,2010
0500000US08113,"San Miguel County, Colorado",7299,2010
0500000US08115,"Sedgwick County, Colorado",2412,2010
0500000US08117,"Summit County, Colorado",27105,2010
0500000US08119,"Teller County, Colorado",22821,2010
0500000US08123,"Weld County, Colorado",242860,2010
0500000US08125,"Yuma County, Colorado",9896,2010
0500000US09001,"Fairfield County, Connecticut",905342,2010
0500000US09003,"Hartford County, Connecticut",887976,2010
0500000US09005,"Litchfield County, Connecticut",189916,2010
0500000US09007,"Middlesex County, Connecticut",164774,2010
0500000US09009,"New Haven County, Connecticut",856688,2010
0500000US09011,"New London County, Connecticut",272360,2010
0500000US09013,"Tolland County, Connecticut",151073,2010
0500000US09015,"Windham County, Connecticut",117708,2010
0500000US10001,"Kent County, Delaware",156918,2010
0500000US10003,"New Castle County, Delaware",533514,2010
0500000US10005,"Sussex County, Delaware",190846,2010
0500000US11001,"District of Columbia, District of Columbia",584400,2010
0500000US12001,"Alachua County, Florida",244247,2010
0500000US12003,"Baker County, Florida",26548,2010
0500000US12005,"Bay County, Florida",166798,2010
0500000US12007,"Bradford County, Florida",28750,2010
0500000US12009,"Brevard County, Florida",540583,2010
0500000US12011,"Broward County, Florida",1734139,2010
0500000US12013,"Calhoun County, Florida",14372,2010
0500000US12015,"Charlotte County, Florida",159385,2010
0500000US12017,"Citrus County, Florida",140686,2010
0500000US12019,"Clay County, Florida",186076,2010
0500000US12021,"Collier County, Florida",316931,2010
0500000US12023,"Columbia County, Florida",66964,2010
0500000US12027,"DeSoto County, Florida",34557,2010
0500000US12029,"Dixie County, Florida",16196,2010
0500000US12031,"Duval County, Florida",854848,2010
0500000US12033,"Escambia County, Florida",297940,2010
0500000US12035,"Flagler County, Florida",91806,2010
0500000US12037,"Franklin County, Florida",11470,2010
0500000US12039,"Gadsden County, Florida",46031,2010
0500000US12041,"Gilchrist County, Florida",16683,2010
0500000US12043,"Glades County, Florida",12617,2010
0500000US12045,"Gulf County, Florida",15879,2010
0500000US12047,"Hamilton County, Florida",14696,2010
0500000US12049,"Hardee County, Florida",27521,2010
0500000US12051,"Hendry County, Florida",39030,2010
0500000US12053,"Hernando County, Florida",170337,2010
0500000US12055,"Highlands County, Florida",98807,2010
0500000US12057,"Hillsborough County, Florida",1200236,2010
0500000US12059,"Holmes County, Florida",19992,2010
0500000US12061,"Indian River County, Florida",135518,2010
0500000US12063,"Jackson County, Florida",49334,2010
0500000US12065,"Jefferson County, Florida",14583,2010
0500000US12067,"Lafayette County, Florida",8506,2010
0500000US12069,"Lake County, Florida",291671,2010
0500000US12071,"Lee County, Florida",606165,2010
0500000US12073,"Leon County, Florida",270409,2010
0500000US12075,"Levy County, Florida",40415,2010
0500000US12077,"Liberty County, Florida",8230,2010
0500000US12079,"Madison County, Florida",19300,2010
0500000US12081,"Manatee County, Florida",318619,2010
0500000US12083,"Marion County, Florida",326833,2010
0500000US12085,"Martin County, Florida",144322,2010
0500000US12086,"Miami-Dade County, Florida",2445374,2010
0500000US12087,"Monroe County, Florida",73065,2010
0500000US12089,"Nassau County, Florida",71099,2010
0500000US12091,"Okaloosa County, Florida",182076,2010
0500000US12093,"Okeechobee County, Florida",39883,2010
0500000US12095,"Orange County, Florida",1116094,2010
0500000US12097,"Osceola County, Florida",258531,2010
0500000US12099,"Palm Beach County, Florida",1299356,2010
0500000US12101,"Pasco County, Florida",456514,2010
0500000US12103,"Pinellas County, Florida",918263,2010
