"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes):","Margin of Error!!Aggregate travel time to work (in minutes):","Estimate!!Aggregate travel time to work (in minutes):!!Male","Margin of Error!!Aggregate travel time to work (in minutes):!!Male","Estimate!!Aggregate travel time to work (in minutes):!!Female","Margin of Error!!Aggregate travel time to work (in minutes):!!Female"
"0500000US01003","Baldwin County, Alabama","2389605","171758","1427340","126210","962265","103365"
"0500000US01015","Calhoun County, Alabama","1012080","86202","591130","73254","420950","55599"
"0500000US01043","Cullman County, Alabama","981575","88475","603750","76780","377825","44980"
"0500000US01049","DeKalb County, Alabama","785815","86812","470985","54203","314830","58397"
"0500000US01051","Elmore County, Alabama","922215","97432","459180","56162","463035","66593"
"0500000US01055","Etowah County, Alabama","1069850","105248","612320","83541","457530","46319"
"0500000US01069","Houston County, Alabama","928530","49107","546490","38394","382040","25111"
"0500000US01073","Jefferson County, Alabama","7451000","334534","3847035","185093","3603965","225472"
"0500000US01077","Lauderdale County, Alabama","1035995","119277","685535","88513","350460","63309"
"0500000US01081","Lee County, Alabama","1864585","189186","1139615","142433","724970","105052"
"0500000US01083","Limestone County, Alabama","1047225","87659","598525","70368","448700","68134"
"0500000US01089","Madison County, Alabama","3755940","149191","2104930","124732","1651010","76941"
"0500000US01095","Marshall County, Alabama","943180","102361","602560","72450","340620","59480"
"0500000US01097","Mobile County, Alabama","4144740","182759","2281750","131153","1862990","122746"
"0500000US01101","Montgomery County, Alabama","2037490","116827","1002455","90808","1035040","91408"
"0500000US01103","Morgan County, Alabama","1178795","97473","646065","65709","532730","59363"
"0500000US01115","St. Clair County, Alabama","1301780","131962","709050","93665","592730","76833"
"0500000US01117","Shelby County, Alabama","3126815","147900","1700195","120652","1426620","119743"
"0500000US01121","Talladega County, Alabama","716535","80327","376315","58137","340220","55167"
"0500000US01125","Tuscaloosa County, Alabama","2020425","139671","1154115","96040","866315","86932"
"0500000US01127","Walker County, Alabama","667345","66923","381270","45064","286075","47573"
"0500000US02020","Anchorage Municipality, Alaska","2711745","211727","1546510","196216","1165235","78707"
"0500000US02090","Fairbanks North Star Borough, Alaska","1095800","148525","694490","129934","401310","84377"
"0500000US02170","Matanuska-Susitna Borough, Alaska","1588010","134724","1050925","123546","537085","55749"
"0500000US04001","Apache County, Arizona","529270","79073","261510","57701","267760","53717"
"0500000US04003","Cochise County, Arizona","888735","96545","544060","81294","344675","41981"
"0500000US04005","Coconino County, Arizona","1209895","125817","665885","88988","544010","72910"
"0500000US04013","Maricopa County, Arizona","54676705","662808","30760605","538576","23916100","441844"
"0500000US04015","Mohave County, Arizona","1545315","177352","969845","161540","575470","70440"
"0500000US04017","Navajo County, Arizona","700930","64494","373465","55539","327465","38284"
"0500000US04019","Pima County, Arizona","10785560","329154","5899535","194490","4886025","197590"
"0500000US04021","Pinal County, Arizona","5430365","291548","3232140","225448","2198225","179687"
"0500000US04025","Yavapai County, Arizona","1892025","156375","1048080","124440","843945","96681"
"0500000US04027","Yuma County, Arizona","1471085","122564","898600","88221","572480","73363"
"0500000US05007","Benton County, Arkansas","2569165","125437","1475520","94281","1093645","72281"
"0500000US05031","Craighead County, Arkansas","949995","114843","507280","78155","442720","85041"
"0500000US05045","Faulkner County, Arkansas","1468305","106437","881225","79971","587075","63517"
"0500000US05051","Garland County, Arkansas","947890","88754","489490","70992","458400","62124"
"0500000US05069","Jefferson County, Arkansas","518280","64529","264415","45132","253865","36833"
"0500000US05085","Lonoke County, Arkansas","933725","86305","486420","46345","447305","55475"
"0500000US05119","Pulaski County, Arkansas","3432195","150930","1729410","116536","1702785","103398"
