"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US17083","Jersey County, Illinois","8626","247","98.8","0.8","0.3","0.5","0.0","0.4","0.1","0.1","0.0","0.4","0.2","0.4","0.6","0.7","0.8","0.5","98.2","0.8","2.7","1.1","29.2","1.6","42.0","1.8","26.1","1.7","6240","266","40.4","2.6","59.6","2.6","80.1","3.3","12.6","2.7","7.2","2.3","2386","259","52.1","5.2","47.0","5.8","5.1","3.0","47.9","5.2","39.1","5.4","8.8","3.8","28.4","(X)","28.2","(X)","28.8","(X)","53470","3533","52958","3331","-","**","-","**","81250","84046","-","**","17250","139976","58547","18835","19583","55563","53253","3522","35750","20792","58710","3983","68257","4141","26987","2845","64773","4852","67029","4238","62246","4473","71234","4750","30188","10806","40818","17895","28125","4473","21431","3967","19781","4344","27000","48542","35540","6787","33109","5568","50625","15110","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17085","Jo Daviess County, Illinois","10001","322","97.5","0.6","0.2","0.2","0.3","0.3","0.5","0.3","0.0","0.3","1.2","0.5","0.3","0.3","1.8","0.5","97.0","0.6","3.5","1.3","24.6","1.3","41.1","1.4","30.7","1.1","6722","263","36.7","2.2","63.3","2.2","80.4","3.3","12.8","2.5","6.8","1.8","3279","309","49.2","3.9","41.8","3.5","7.4","2.5","50.8","3.9","38.5","4.3","12.3","4.0","24.9","(X)","26.5","(X)","21.0","(X)","50279","3224","50346","3156","73750","30298","45750","34980","29226","81715","-","**","81372","46511","37656","62360","80789","55533","50245","3146","21389","14398","57227","5012","61871","2570","35179","3263","60381","3002","63266","5434","59351","2507","67038","2988","26319","2016","45833","18447","28266","2178","24146","3208","21047","2397","53221","2355","32577","6401","27196","6760","54615","18270","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17087","Johnson County, Illinois","4396","405","99.1","0.7","0.1","0.2","0.0","0.7","0.3","0.4","0.0","0.7","0.3","0.5","0.2","0.2","0.1","0.1","99.0","0.7","4.3","5.0","24.1","2.4","39.9","3.0","31.7","3.2","3141","332","36.7","3.5","63.3","3.5","84.8","3.4","13.0","3.1","2.1","1.7","1255","251","59.0","9.7","50.5","12.4","8.4","19.5","41.0","9.7","35.3","9.6","5.7","3.2","32.3","(X)","32.7","(X)","31.2","(X)","41619","3214","41535","3299","-","**","-","**","77857","83161","-","**","-","**","40417","61591","29375","37850","41544","3291","14028","21260","53794","4005","50224","4416","30795","2215","47423","3164","53553","7521","45582","3903","51822","4055","21042","4723","24609","26290","21378","5464","18596","4396","17279","4930","19310","19271","35087","11602","25329","9577","70357","13974","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17089","Kane County, Illinois","168980","980","80.2","0.5","5.6","0.3","0.2","0.1","2.9","0.2","0.0","0.1","10.3","0.5","1.0","0.2","20.8","0.4","70.3","0.5","3.2","0.2","40.4","0.4","39.7","0.5","16.8","0.3","127448","1229","52.7","0.7","47.3","0.7","78.9","0.8","14.2","0.7","6.9","0.5","41532","1279","53.6","1.4","46.6","1.4","6.9","0.8","46.4","1.4","36.5","1.5","9.9","1.1","24.6","(X)","24.6","(X)","22.6","(X)","67767","1261","74849","1228","35904","4709","43321","13292","90219","7916","-","**","45788","2264","49985","6793","47552","1506","79324","1309","37648","4225","70086","2268","82560","2115","40983","1407","77998","1378","73416","2086","81902","1505","89520","1580","37045","1792","53068","3991","40333","1162","32346","1680","28799","1576","70595","9154","48668","2692","43274","2150","71909","9181","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17091","Kankakee County, Illinois","40943","524","82.2","0.7","14.3","0.6","0.2","0.1","0.7","0.2","0.0","0.1","1.8","0.4","0.7","0.3","5.2","0.4","79.1","0.6","4.4","0.6","34.2","0.8","39.3","0.9","22.2","0.7","28243","541","45.8","1.4","54.2","1.4","71.2","1.6","21.4","1.3","7.5","1.2","12700","567","53.6","2.4","47.5","2.5","6.0","1.3","46.4","2.4","35.1","2.4","11.4","2.0","29.9","(X)","29.8","(X)","27.6","(X)","50484","2098","55910","1656","26238","2059","7284","140446","76352","6656","163021","146445","33711","13440","41500","9590","40351","7091","56806","1768","32807","7561","57922","2003","60264","2873","33196","1689","59998","2151","55752","2735","64923","2287","73873","1878","30731","2754","38665","4280","28864","1928","21894","1964","19848","1589","44618","17002","37412","5114","34123","3116","50726","14165","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17093","Kendall County, Illinois","35687","423","88.2","0.9","4.5","0.5","0.2","0.2","2.1","0.3","0.0","0.1","3.2","0.7","1.8","0.4","11.0","0.5","81.0","0.6","2.4","0.6","49.4","0.9","35.5","0.9","12.7","0.5","28274","487","56.9","1.5","43.1","1.5","84.4","1.4","11.0","1.2","4.6","0.8","7413","430","51.0","3.2","44.3","3.2","6.7","1.9","49.0","3.2","35.0","3.4","14.0","3.4","26.9","(X)","27.0","(X)","26.1","(X)","79897","1805","80517","1824","75883","9416","16392","538","85964","13645","-","**","65377","9534","79550","13303","64558","6217","82144","2332","54722","9830","85616","2552","85951","3472","47776","5231","87309","2223","87089","3551","87476","2642","94772","2598","50434","6628","65413","5993","50970","2181","41532","2189","37650","4000","85139","24215","56870","4426","51754","2170","86413","11077","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17095","Knox County, Illinois","21863","416","93.8","0.8","4.4","0.7","0.3","0.2","0.1","0.2","0.0","0.1","0.7","0.3","0.7","0.3","1.6","0.4","93.0","0.8","4.8","1.1","28.2","1.0","37.6","1.1","29.4","1.0","13791","436","39.3","2.0","60.7","2.0","75.1","2.1","17.4","1.9","7.5","1.4","8072","489","56.0","2.8","50.9","2.7","5.2","1.6","44.0","2.8","36.2","3.2","7.8","1.9","19.5","(X)","18.4","(X)","19.9","(X)","39545","1937","40388","2131","30750","6329","50577","59222","35278","63610","-","**","38430","13143","30179","21201","38697","7097","40403","2110","17760","6251","46497","4108","50994","3136","29513","2273","51740","2131","47936","4032","54217","2736","59945","2781","26280","3345","34694","7933","19758","1455","18354","1051","17513","1214","51346","21250","24521","2576","20994","3188","47361","12177","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17097","Lake County, Illinois","239246","912","80.9","0.4","6.7","0.2","0.1","0.1","5.5","0.2","0.0","0.1","5.6","0.3","1.0","0.1","12.9","0.3","73.9","0.3","2.6","0.2","36.9","0.4","42.9","0.4","17.5","0.3","178072","1232","53.0","0.6","47.0","0.6","81.2","0.6","13.1","0.4","5.7","0.4","61174","1230","54.6","1.1","47.5","1.1","7.1","0.7","45.4","1.1","36.3","1.1","9.1","0.8","26.7","(X)","27.2","(X)","23.5","(X)","78948","796","84547","1065","42424","2713","52542","7961","91159","4334","-","**","48763","2327","57479","7926","51618","1726","88051","1029","33894","2203","80145","1230","95546","1768","47716","1431","91693","1074","90487","1438","93002","1572","104685","1382","41895","1273","55696","2643","43344","1322","36237","1319","32226","1263","72143","5256","52278","1825","47292","2095","74324","10344","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US17099","LaSalle County, Illinois","45326","528","95.6","0.7","1.1","0.6","0.1","0.1","0.5","0.1","0.0","0.1","1.9","0.4","0.8","0.2","5.0","0.4","92.8","0.7","3.5","0.5","30.9","0.9","39.6","0.8","26.0","0.9","30965","596","43.3","1.3","56.7","1.3","78.5","1.4","14.9","1.3","6.5","0.8","14361","614","52.7","2.4","47.5","2.4","5.2","1.3","47.3","2.4","39.9","2.5","7.4","1.6","24.2","(X)","23.7","(X)","24.1","(X)","51705","1254","52023","1294","14944","4784","47813","5380","60078","8236","-","**","53578","6752","45208","35322","54478","5927","51956","1276","30641","3722","61119","1991","60453","2361","31048","1288","62252","1546","62264","2304","62240","2018","69912","1576","30521","1861","49827","6327","25591","1389","20188","993","18700","930","54539","9286","36460","4853","30809","3150","61110","7670","(X)","(X)","(X)","(X)","(X)","(X)"
