DMV ID,DMV Snapshot (Date),ZIP Code,Registration Valid Date,Registration Expiration Date,VIN Prefix,VIN Model Year,Make,Model,Model Year
1,DMV Direct (11/14/2016),06489,1/22/2016,1/21/2018,5UXKT0C5,G,BMW,X5,2016
1,DMV Direct (11/14/2016),06883,1/22/2016,1/21/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06824,1/21/2016,1/20/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),43026,1/22/2016,1/21/2018,WBY1Z4C5,F,BMW,i3 REx,2015
1,DMV Direct (11/14/2016),06473,1/25/2016,1/24/2018,JTDKN3DP,E,Toyota,Prius Plug-in,2014
1,DMV Direct (11/14/2016),06830,1/25/2016,1/24/2018,WP0AD2A7,F,Porsche,Panamera S E-Hybrid,2015
1,DMV Direct (11/14/2016),06795,1/22/2016,1/21/2018,3FA6P0PU,F,Ford,Fusion Energi,2015
1,DMV Direct (11/14/2016),06071,1/23/2016,1/22/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06511,1/21/2016,1/20/2018,WBY1Z4C5,E,BMW,i3 REx,2014
1,DMV Direct (11/14/2016),06811,1/21/2016,1/20/2018,3FA6P0SU,G,Ford,Fusion Energi,2016
1,DMV Direct (11/14/2016),06824,1/20/2016,1/19/2018,3FA6P0PU,G,Ford,Fusion Energi,2016
1,DMV Direct (11/14/2016),06840,1/20/2016,1/19/2018,YV4BC0PL,G,Volvo,XC90 Plug In,2016
1,DMV Direct (11/14/2016),06033,1/21/2016,1/20/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06606,1/21/2016,1/20/2018,JN1AZ0CP,C,Nissan,Leaf,2012
1,DMV Direct (11/14/2016),06830,1/21/2016,1/20/2018,5YJSA1E4,F,Tesla,Model S,2015
1,DMV Direct (11/14/2016),06877,1/21/2016,1/20/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06877,1/27/2016,1/26/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06053,1/27/2016,1/26/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06370,1/26/2016,1/25/2018,3FA6P0SU,G,Ford,Fusion Energi,2016
1,DMV Direct (11/14/2016),06514,1/26/2016,1/25/2018,WMEEJ9AA,D,Smart,forTwo EV,2013
1,DMV Direct (11/14/2016),06883,1/27/2016,1/26/2018,1G1RA6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06417,1/27/2016,1/26/2018,1N4AZ0CP,D,Nissan,Leaf,2013
1,DMV Direct (11/14/2016),06510,1/27/2016,1/26/2018,537LS7D4,C,Azure,Transit Connect,2012
1,DMV Direct (11/14/2016),06820,1/27/2016,1/26/2018,5YJXCBE4,G,Tesla,Model X,2016
1,DMV Direct (11/14/2016),06831,1/25/2016,1/24/2018,WMEEJ9AA,D,Smart,forTwo EV,2013
1,DMV Direct (11/14/2016),06614,1/25/2016,1/24/2018,JTDKN3DP,E,Toyota,Prius Plug-in,2014
1,DMV Direct (11/14/2016),06426,1/25/2016,1/24/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06108,1/25/2016,1/24/2018,1FADP5CU,D,Ford,C-Max Energi,2013
1,DMV Direct (11/14/2016),06071,1/26/2016,1/25/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06001,1/26/2016,1/25/2018,5YJSA1H1,E,Tesla,Model S,2014
1,DMV Direct (11/14/2016),06117,1/25/2016,1/24/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06877,1/26/2016,1/25/2018,5YJSA1E2,F,Tesla,Model S,2015
1,DMV Direct (11/14/2016),06897,1/16/2016,1/15/2018,WP0AD2A7,E,Porsche,Panamera S E-Hybrid,2014
1,DMV Direct (11/14/2016),06461,1/16/2016,1/15/2018,1FADP5CU,D,Ford,C-Max Energi,2013
1,DMV Direct (11/14/2016),06903,1/15/2016,1/14/2018,3FA6P0SU,D,Ford,Fusion Energi,2013
1,DMV Direct (11/14/2016),06442,1/16/2016,1/15/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06067,1/17/2016,1/16/2018,1G1RH6E4,E,Chevrolet,Volt,2014
1,DMV Direct (11/14/2016),06418,1/18/2016,1/17/2018,1G1RA6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06278,1/17/2016,1/16/2018,1N4AZ0CP,D,Nissan,Leaf,2013
1,DMV Direct (11/14/2016),06482,1/17/2016,1/16/2018,1G1RD6E4,B,Chevrolet,Volt,2011
1,DMV Direct (11/14/2016),06035,1/15/2016,1/14/2018,5YJSA1E2,G,Tesla,Model S,2016
1,DMV Direct (11/14/2016),06468,1/15/2016,1/14/2018,WAUTPBFF,G,Audi,A3 Plug In,2016
1,DMV Direct (11/14/2016),06902,1/15/2016,1/14/2018,5YJSA1E2,F,Tesla,Model S,2015
1,DMV Direct (11/14/2016),06037,1/15/2016,1/14/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06226,1/15/2016,1/14/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06830,1/15/2016,1/14/2018,5YJSA1CP,D,Tesla,Model S,2013
1,DMV Direct (11/14/2016),06279,1/15/2016,1/14/2018,1G1RA6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06001,1/15/2016,1/14/2018,3FA6P0SU,E,Ford,Fusion Energi,2014
1,DMV Direct (11/14/2016),06484,1/19/2016,1/18/2018,1G1RA6E4,C,Chevrolet,Volt,2012
1,DMV Direct (11/14/2016),06820,1/19/2016,1/18/2018,5YJSA1CP,D,Tesla,Model S,2013
1,DMV Direct (11/14/2016),06519,1/19/2016,1/18/2018,WAUSPBFF,G,Audi,A3 Plug In,2016
1,DMV Direct (11/14/2016),06896,1/19/2016,1/18/2018,WAUTPBFF,G,Audi,A3 Plug In,2016
1,DMV Direct (11/14/2016),06511,1/20/2016,1/19/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06067,1/20/2016,1/19/2018,1FADP5CU,D,Ford,C-Max Energi,2013
1,DMV Direct (11/14/2016),06002,1/20/2016,1/19/2018,1FADP5CU,F,Ford,C-Max Energi,2015
1,DMV Direct (11/14/2016),06897,1/20/2016,1/19/2018,1N4AZ0CP,F,Nissan,Leaf,2015
1,DMV Direct (11/14/2016),06607,1/18/2016,1/17/2018,1G1RA6E4,E,Chevrolet,Volt,2014
1,DMV Direct (11/14/2016),06810,1/18/2016,1/17/2018,3FA6P0PU,G,Ford,Fusion Energi,2016
1,DMV Direct (11/14/2016),06785,1/18/2016,1/17/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06111,1/18/2016,1/17/2018,1G1RD6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06897,1/19/2016,1/18/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06370,1/19/2016,1/18/2018,1N4AZ0CP,G,Nissan,Leaf,2016
1,DMV Direct (11/14/2016),06033,1/18/2016,1/17/2018,WAUTPBFF,G,Audi,A3 Plug In,2016
1,DMV Direct (11/14/2016),06070,1/18/2016,1/17/2018,3FA6P0PU,G,Ford,Fusion Energi,2016
1,DMV Direct (11/14/2016),06001,2/4/2016,2/3/2018,1FADP5CU,D,Ford,C-Max Energi,2013
1,DMV Direct (11/14/2016),06812,2/5/2016,2/4/2018,1G1RA6E4,C,Chevrolet,Volt,2012
1,DMV Direct (11/14/2016),06333,2/4/2016,2/3/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06320,2/4/2016,2/3/2018,1G1RD6E4,B,Chevrolet,Volt,2011
1,DMV Direct (11/14/2016),06880,2/5/2016,2/4/2018,5YJSA1E2,G,Tesla,Model S,2016
1,DMV Direct (11/14/2016),06513,2/5/2016,2/4/2018,5YJXCBE4,G,Tesla,Model X,2016
1,DMV Direct (11/14/2016),06831,2/5/2016,2/4/2018,5YJSA1E4,G,Tesla,Model S,2016
1,DMV Direct (11/14/2016),06877,2/5/2016,2/4/2018,5YJSA1E2,F,Tesla,Model S,2015
1,DMV Direct (11/14/2016),06811,2/2/2016,2/1/2018,JN1AZ0CP,C,Nissan,Leaf,2012
1,DMV Direct (11/14/2016),06514,2/3/2016,2/2/2018,WBY1Z4C5,F,BMW,i3 REx,2015
1,DMV Direct (11/14/2016),06878,2/2/2016,2/1/2018,YV4BC0PM,G,Volvo,XC90 Plug In,2016
1,DMV Direct (11/14/2016),06095,2/2/2016,2/1/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06107,2/4/2016,2/3/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),10021,2/4/2016,2/3/2018,YV4BC0PL,G,Volvo,XC90 Plug In,2016
1,DMV Direct (11/14/2016),06019,2/3/2016,2/2/2018,WAUTPBFF,G,Audi,A3 Plug In,2016
1,DMV Direct (11/14/2016),06062,2/3/2016,2/2/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06010,2/7/2016,2/6/2018,3FA6P0SU,D,Ford,Fusion Energi,2013
1,DMV Direct (11/14/2016),06515,2/8/2016,2/7/2018,JTDKN3DP,E,Toyota,Prius Plug-in,2014
1,DMV Direct (11/14/2016),06492,2/6/2016,2/5/2018,1G1RA6E4,E,Chevrolet,Volt,2014
1,DMV Direct (11/14/2016),06482,2/6/2016,2/5/2018,1G1RB6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06460,2/8/2016,2/7/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06001,2/9/2016,2/8/2018,1G1RA6E4,C,Chevrolet,Volt,2012
1,DMV Direct (11/14/2016),06085,2/8/2016,2/7/2018,3FA6P0SU,D,Ford,Fusion Energi,2013
1,DMV Direct (11/14/2016),06880,2/8/2016,2/7/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06770,2/5/2016,2/4/2018,1FADP5CU,E,Ford,C-Max Energi,2014
1,DMV Direct (11/14/2016),06840,2/5/2016,2/4/2018,5YJSA1E4,G,Tesla,Model S,2016
1,DMV Direct (11/14/2016),06078,2/5/2016,2/4/2018,JN1AZ0CP,C,Nissan,Leaf,2012
1,DMV Direct (11/14/2016),06824,2/5/2016,2/4/2018,WP1AE2A2,G,Porsche,Cayenne S E-Hybrid,2016
1,DMV Direct (11/14/2016),06757,2/6/2016,2/5/2018,YV4BC0PL,G,Volvo,XC90 Plug In,2016
1,DMV Direct (11/14/2016),06498,2/6/2016,2/5/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06032,2/5/2016,2/4/2018,5YJSA1E2,F,Tesla,Model S,2015
1,DMV Direct (11/14/2016),06824,2/5/2016,2/4/2018,5YJSA1E4,F,Tesla,Model S,2015
1,DMV Direct (11/14/2016),06830,1/29/2016,1/28/2018,5YJSA1CG,D,Tesla,Model S,2013
1,DMV Direct (11/14/2016),06042,1/30/2016,1/29/2018,1FADP5CU,D,Ford,C-Max Energi,2013
1,DMV Direct (11/14/2016),06877,1/29/2016,1/28/2018,5YJSA1H1,E,Tesla,Model S,2014
1,DMV Direct (11/14/2016),06514,1/29/2016,1/28/2018,5YJSA1H1,E,Tesla,Model S,2014
1,DMV Direct (11/14/2016),06019,1/30/2016,1/29/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06418,1/30/2016,1/29/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06517,1/30/2016,1/29/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06111,1/30/2016,1/29/2018,1G1RF6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06807,1/28/2016,1/27/2018,5YJSA1E2,G,Tesla,Model S,2016
1,DMV Direct (11/14/2016),06473,1/28/2016,1/27/2018,1FADP5CU,G,Ford,C-Max Energi,2016
1,DMV Direct (11/14/2016),06480,1/28/2016,1/27/2018,1G1RD6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06811,1/28/2016,1/27/2018,JN1AZ0CP,C,Nissan,Leaf,2012
1,DMV Direct (11/14/2016),06443,1/29/2016,1/28/2018,5YJSA1CP,D,Tesla,Model S,2013
1,DMV Direct (11/14/2016),06478,1/29/2016,1/28/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06450,1/28/2016,1/27/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06478,1/28/2016,1/27/2018,1N4BZ0CP,G,Nissan,Leaf,2016
1,DMV Direct (11/14/2016),06498,2/1/2016,1/31/2018,1G1RD6E4,D,Chevrolet,Volt,2013
1,DMV Direct (11/14/2016),06830,2/1/2016,1/31/2018,5YJSA1S1,E,Tesla,Model S,2014
1,DMV Direct (11/14/2016),06850,2/1/2016,1/31/2018,JTDKN3DP,E,Toyota,Prius Plug-in,2014
1,DMV Direct (11/14/2016),06605,2/1/2016,1/31/2018,1G1RA6E4,C,Chevrolet,Volt,2012
1,DMV Direct (11/14/2016),06902,2/2/2016,2/1/2018,1FADP3R4,G,Ford,Focus EV,2016
1,DMV Direct (11/14/2016),06096,2/2/2016,2/1/2018,WBY1Z2C5,F,BMW,i3,2015
1,DMV Direct (11/14/2016),06238,2/1/2016,1/31/2018,1G1RC6S5,G,Chevrolet,Volt,2016
1,DMV Direct (11/14/2016),06019,2/1/2016,1/31/2018,JTDKN3DP,D,Toyota,Prius Plug-in,2013
1,DMV Direct (11/14/2016),06813,1/31/2016,1/30/2018,1G1RA6E4,C,Chevrolet,Volt,2012
1,DMV Direct (11/14/2016),06242,1/31/2016,1/30/2018,1N4AZ0CP,D,Nissan,Leaf,2013
1,DMV Direct (11/14/2016),06798,1/30/2016,1/29/2018,JTDKN3DP,C,Toyota,Prius Plug-in,2012
1,DMV Direct (11/14/2016),06238,1/30/2016,1/29/2018,WMEEJ9AA,D,Smart,forTwo EV,2013
1,DMV Direct (11/14/2016),06477,2/1/2016,1/31/2018,WP0AD2A7,F,Porsche,Panamera S E-Hybrid,2015
1,DMV Direct (11/14/2016),06853,2/1/2016,1/31/2018,WVWPP7AU,G,Volkswagen,e-Golf,2016
