DMV ID,DMV Snapshot (Date),Registration Valid Date,ZIP Code,VIN Prefix,Registration Expiration Date,VIN Model Year,Make,Model,Model Year
1,DMV Direct (3/3/2018),11/14/2017,48380,1FADP5CU,,D,Ford,C-Max Energi,2013
1,DMV Direct (3/3/2018),11/14/2017,48173,5YJSA1E4,,H,Tesla,Model S,2017
1,DMV Direct (3/3/2018),11/14/2017,48430,1G1RA6E4,,E,Chevrolet,Volt,2014
1,DMV Direct (3/3/2018),11/14/2017,48226,5YJSA1E2,,G,Tesla,Model S,2016
1,DMV Direct (3/3/2018),11/14/2017,48206,1G1RB6E4,,F,Chevrolet,Volt,2015
1,DMV Direct (3/3/2018),11/14/2017,48866,1G1RD6E4,,C,Chevrolet,Volt,2012
1,DMV Direct (3/3/2018),11/14/2017,48336,3FA6P0SU,,D,Ford,Fusion Energi,2013
1,DMV Direct (3/3/2018),11/14/2017,49423,3FA6P0SU,,G,Ford,Fusion Energi,2016
1,DMV Direct (3/3/2018),11/14/2017,48302,5YJSA1E2,,G,Tesla,Model S,2016
1,DMV Direct (3/3/2018),11/14/2017,48220,1G1RE6E4,,E,Chevrolet,Volt,2014
1,DMV Direct (3/3/2018),11/14/2017,48035,1FADP5CU,,G,Ford,C-Max Energi,2016
1,DMV Direct (3/3/2018),11/14/2017,48236,1G1FX6S0,,H,Chevrolet,Bolt EV,2017
1,DMV Direct (3/3/2018),11/14/2017,48009,1N4BZ0CP,,G,Nissan,Leaf,2016
1,DMV Direct (3/3/2018),11/14/2017,49504,1G1RA6E4,,E,Chevrolet,Volt,2014
1,DMV Direct (3/3/2018),11/14/2017,48054,1G1RD6E4,,B,Chevrolet,Volt,2011
1,DMV Direct (3/3/2018),11/14/2017,49335,JTDKARFP,,H,Toyota,Prius Prime,2017
1,DMV Direct (3/3/2018),11/14/2017,48220,1FADP3R4,,F,Ford,Focus EV,2015
1,DMV Direct (3/3/2018),11/14/2017,49024,JTDKN3DP,,D,Toyota,Prius Plug-in,2013
1,DMV Direct (3/3/2018),11/14/2017,48360,5YJSA1E2,,G,Tesla,Model S,2016
1,DMV Direct (3/3/2018),11/14/2017,48415,1G1RB6E4,,F,Chevrolet,Volt,2015
1,DMV Direct (3/3/2018),11/14/2017,48067,3FA6P0PU,,H,Ford,Fusion Energi,2017
1,DMV Direct (3/3/2018),11/14/2017,48221,1FADP5CU,,D,Ford,C-Max Energi,2013
1,DMV Direct (3/3/2018),11/14/2017,48104,1FADP5CU,,G,Ford,C-Max Energi,2016
1,DMV Direct (3/3/2018),11/14/2017,49319,1FADP5CU,,D,Ford,C-Max Energi,2013
1,DMV Direct (3/3/2018),11/13/2017,48070,1FADP5FU,,H,Ford,C-Max Energi,2017
1,DMV Direct (3/3/2018),11/13/2017,48070,1G1RA6S5,,H,Chevrolet,Volt,2017
1,DMV Direct (3/3/2018),11/13/2017,48188,1G6RR1E4,,E,Cadillac,ELR,2014
1,DMV Direct (3/3/2018),11/13/2017,48236,1G1RA6S5,,H,Chevrolet,Volt,2017
