DMV ID,DMV Snapshot (Date),Registration Valid Date,County GEOID,VIN Prefix,Registration Expiration Date,VIN Model Year,Make,Model,Model Year
1,DMV Direct (2/19/2020),2/1/2019,30063,WP0CA2A1,1/31/2020,F,Porsche,918 Spyder,2015
1,DMV Direct (2/19/2020),1/1/2019,30031,1G1RA6S5,12/31/2019,J,Chevrolet,Volt,2018
1,DMV Direct (2/19/2020),1/1/2019,30067,5YJSA1E2,12/31/2019,J,Tesla,Model S,2018
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJSA1E2,12/31/2019,J,Tesla,Model S,2018
1,DMV Direct (2/19/2020),1/1/2019,30049,5YJSA1E4,12/31/2019,G,Tesla,Model S,2016
1,DMV Direct (2/19/2020),1/1/2019,30063,5YJSA1H1,12/31/2019,E,Tesla,Model S,2014
1,DMV Direct (2/19/2020),1/1/2019,30031,1G1RA6S5,12/31/2019,H,Chevrolet,Volt,2017
1,DMV Direct (2/19/2020),1/1/2019,30049,1G1RA6S5,12/31/2019,H,Chevrolet,Volt,2017
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJSA1E2,12/31/2019,G,Tesla,Model S,2016
1,DMV Direct (2/19/2020),1/1/2019,30023,5YJSA1E1,12/31/2019,F,Tesla,Model S,2015
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJSA1DP,12/31/2019,D,Tesla,Model S,2013
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJSA1E2,12/31/2019,G,Tesla,Model S,2016
1,DMV Direct (2/19/2020),1/1/2019,30081,1G1RB6E4,12/31/2019,C,Chevrolet,Volt,2012
1,DMV Direct (2/19/2020),1/1/2019,30111,5YJSA1E2,12/31/2019,G,Tesla,Model S,2016
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJSA1E2,12/31/2019,G,Tesla,Model S,2016
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJXCAE4,12/31/2019,H,Tesla,Model X,2017
1,DMV Direct (2/19/2020),1/1/2019,30049,5YJXCAE4,12/31/2019,G,Tesla,Model X,2016
1,DMV Direct (2/19/2020),1/1/2019,30029,5YJXCAE4,12/31/2019,G,Tesla,Model X,2016
