DMV ID,DMV Snapshot (Date),ZIP Code,VIN Prefix,VIN Model Year,Registration Valid Date,Registration Expiration Date,Make,Model,Model Year
1,DMV Direct (6/30/2018),46205,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53140,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53144,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53207,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53217,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53226,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53538,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),53558,1FADP3R4,D,6/30/2018,,Ford,Focus EV,2013
1,DMV Direct (6/30/2018),43615,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),49080,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),53144,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),53144,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),53190,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),53213,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),53548,1FADP3R4,E,6/30/2018,,Ford,Focus EV,2014
1,DMV Direct (6/30/2018),12345,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),12345,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),12345,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),21152,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),21152,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),21152,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),48331,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),48451,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53018,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53022,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53051,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53066,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53072,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53074,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53078,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53089,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53089,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53098,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53110,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53126,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53130,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53130,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53132,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53144,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53151,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53168,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53177,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53190,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53210,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53211,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53214,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
1,DMV Direct (6/30/2018),53216,1FADP5CU,D,6/30/2018,,Ford,C-Max Energi,2013
